Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 03:16:40.656,114311.4,0.002,BTCUSDT
2025-09-30 03:16:40.656,114311.4,0.001,BTCUSDT
2025-09-30 03:16:40.656,114311.3,0.001,BTCUSDT
2025-09-30 03:16:40.656,114311.3,0.001,BTCUSDT
2025-09-30 03:16:40.656,114310.5,0.001,BTCUSDT
2025-09-30 03:16:40.662,114310.3,0.07,BTCUSDT
2025-09-30 03:16:40.662,114310.3,0.001,BTCUSDT
2025-09-30 03:16:40.662,114310.3,0.643,BTCUSDT
2025-09-30 03:16:40.662,114310.3,0.07,BTCUSDT
2025-09-30 03:16:40.662,114310.2,0.001,BTCUSDT
2025-09-30 03:16:40.662,114310.0,0.001,BTCUSDT
2025-09-30 03:16:40.662,114309.9,0.002,BTCUSDT
2025-09-30 03:16:40.662,114309.7,0.001,BTCUSDT
2025-09-30 03:16:40.662,114309.3,0.002,BTCUSDT
2025-09-30 03:16:40.662,114308.7,0.001,BTCUSDT
2025-09-30 03:16:40.662,114308.7,0.003,BTCUSDT
2025-09-30 03:16:40.662,114308.6,0.001,BTCUSDT
2025-09-30 03:16:40.662,114308.5,0.002,BTCUSDT
2025-09-30 03:16:40.662,114308.4,0.002,BTCUSDT
2025-09-30 03:16:40.662,114308.2,0.001,BTCUSDT
2025-09-30 03:16:40.662,114308.1,0.002,BTCUSDT
2025-09-30 03:16:40.662,114308.0,0.002,BTCUSDT
2025-09-30 03:16:40.662,114308.0,0.002,BTCUSDT
2025-09-30 03:16:40.662,114307.8,0.002,BTCUSDT
2025-09-30 03:16:40.662,114307.2,0.001,BTCUSDT
2025-09-30 03:16:40.662,114307.2,0.002,BTCUSDT
2025-09-30 03:16:40.662,114307.0,0.002,BTCUSDT
2025-09-30 03:16:40.662,114307.0,0.001,BTCUSDT
2025-09-30 03:16:40.662,114306.9,0.001,BTCUSDT
2025-09-30 03:16:40.662,114306.8,0.001,BTCUSDT
2025-09-30 03:16:40.662,114306.7,0.001,BTCUSDT
2025-09-30 03:16:40.699,114306.6,0.074,BTCUSDT
2025-09-30 03:16:40.721,114306.7,0.056,BTCUSDT
2025-09-30 03:16:40.782,114306.7,0.1,BTCUSDT
2025-09-30 03:16:40.912,114306.6,0.043,BTCUSDT
2025-09-30 03:16:40.960,114306.7,0.039,BTCUSDT
2025-09-30 03:16:41.097,114306.7,0.1,BTCUSDT
2025-09-30 03:16:41.644,114306.6,0.003,BTCUSDT
2025-09-30 03:16:41.913,114306.6,0.043,BTCUSDT
2025-09-30 03:16:42.649,114306.6,0.003,BTCUSDT
2025-09-30 03:16:42.973,114306.6,0.021,BTCUSDT
2025-09-30 03:16:42.973,114306.6,0.022,BTCUSDT
2025-09-30 03:16:43.156,114306.7,0.002,BTCUSDT
2025-09-30 03:16:43.620,114306.6,0.017,BTCUSDT
2025-09-30 03:16:43.655,114306.6,0.004,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.002,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.116,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.005,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.006,BTCUSDT
2025-09-30 03:16:43.669,114306.7,0.043,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.002,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.005,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.002,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.005,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.001,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.087,BTCUSDT
